iter	RMSE
0	156.464027
1	149.8244533
2	143.6812722
3	137.9470384
4	132.5500962
5	127.3795892
6	122.5045231
7	117.7759951
8	112.9810462
9	108.2823315
10	104.0704386
11	99.82427044
12	95.79055358
13	92.04967191
14	88.21413752
15	84.64584537
16	81.32896602
17	77.94777708
18	74.8195336
19	71.84244811
20	69.11867696
21	66.54429412
22	63.91307671
23	61.44691128
24	59.26006329
25	57.0176963
26	54.77153702
27	52.63279182
28	50.69801951
29	48.74582373
30	46.9192674
31	45.17489092
32	43.3847461
33	41.78036999
34	40.21017647
35	38.62630856
36	37.22213609
37	35.86792308
38	34.54593658
39	33.26280145
40	31.96907256
41	30.80567003
42	29.63819228
43	28.56686617
44	27.5730637
45	26.65012126
46	25.73019847
47	24.86612718
48	24.04230529
49	23.22720304
50	22.45945679
51	21.70525908
52	20.95360115
53	20.30660478
54	19.67864543
55	19.07568993
56	18.53827738
57	17.98172186
58	17.44602925
59	16.94738918
60	16.46800226
61	16.00132668
62	15.52378983
63	15.10316293
64	14.72904245
65	14.32366024
66	13.93155451
67	13.58033038
68	13.25779572
69	12.94064171
70	12.63694782
71	12.3492584
72	12.05676316
73	11.79898821
74	11.56571889
75	11.32618568
76	11.07793724
77	10.86040404
78	10.6352044
79	10.43628671
80	10.26509361
81	10.11622183
82	9.922801278
83	9.766434974
84	9.602261337
85	9.444762849
86	9.265189306
87	9.131374406
88	8.99941832
89	8.853516855
90	8.71688454
91	8.579719268
92	8.458739299
93	8.33841137
94	8.255764851
95	8.119999475
96	8.0122763
97	7.904351216
98	7.804334146
99	7.728279317
100	7.629144732
101	7.546138345
102	7.465226156
103	7.373620251
104	7.292480121
105	7.225813243
106	7.159526771
107	7.081062021
108	7.010764455
109	6.94317351
110	6.885431361
111	6.826658735
112	6.774998963
113	6.713963556
114	6.643056003
115	6.586811767
116	6.538626562
117	6.474863153
118	6.436832355
119	6.378754475
120	6.332002503
121	6.273042726
122	6.240444404
123	6.182662294
124	6.136395719
125	6.099260487
126	6.065301676
127	6.011682151
128	5.968667489
129	5.939429025
130	5.900782837
131	5.860499977
132	5.813832684
133	5.789271571
134	5.749915772
135	5.713408111
136	5.676736865
137	5.640041355
138	5.610888061
139	5.574453176
140	5.528155011
141	5.504638703
142	5.472331956
143	5.447006012
144	5.430028241
145	5.398207971
146	5.375428802
147	5.349994785
148	5.321911187
149	5.303596772
150	5.276538378
151	5.250238129
152	5.213349332
153	5.198522413
154	5.168813587
155	5.139163954
156	5.112512174
157	5.097334896
158	5.062834715
159	5.028090188
160	5.00642611
161	4.978640135
162	4.959318865
163	4.919297591
164	4.90047008
165	4.879450162
166	4.852169611
167	4.81319021
168	4.798190746
169	4.779287953
170	4.752018174
171	4.724185006
172	4.702348861
173	4.679692975
174	4.647809844
175	4.631946471
176	4.62076946
177	4.597931271
178	4.582489596
179	4.565262328
180	4.547585244
181	4.52939513
182	4.508859658
183	4.488581285
184	4.467173164
185	4.442689409
186	4.417372031
187	4.401061267
188	4.382443561
189	4.35888593
190	4.340058001
191	4.314969028
192	4.292778771
193	4.273254014
194	4.257483845
195	4.245396995
196	4.216635554
197	4.197833726
198	4.17494388
199	4.159579782
200	4.147896536
201	4.131056977
202	4.111218821
203	4.098173935
204	4.079692885
205	4.056367515
206	4.03672744
207	4.013175989
208	4.001634155
209	3.981019912
210	3.959298245
211	3.946701293
212	3.921888458
213	3.904912198
214	3.892868389
215	3.875647715
216	3.860789654
217	3.842383532
218	3.828207828
219	3.809678584
220	3.790896449
221	3.786992879
222	3.76997734
223	3.764163785
224	3.749191766
225	3.726549428
226	3.714035122
227	3.710665666
228	3.706992144
229	3.690449358
230	3.669520781
231	3.652683469
232	3.643077923
233	3.624407765
234	3.610439385
235	3.596107731
236	3.573788494
237	3.556143728
238	3.543106145
239	3.527781958
240	3.517981289
241	3.503295133
242	3.493282182
243	3.479877669
244	3.468677203
245	3.453324161
246	3.441851814
247	3.430528677
248	3.414617211
249	3.40220871
250	3.399601988
251	3.386213941
252	3.375650211
253	3.371853923
254	3.361927961
255	3.34425919
256	3.332353488
257	3.317448492
258	3.305272982
259	3.290564766
260	3.276912922
261	3.256384818
262	3.24525347
263	3.243626359
264	3.236621865
265	3.234085926
266	3.222620357
267	3.212380382
268	3.194377613
269	3.191819787
270	3.189722757
271	3.181005488
272	3.171824866
273	3.162756368
274	3.151600689
275	3.140267239
276	3.13800938
277	3.126754655
278	3.115802608
279	3.107806824
280	3.097628932
281	3.088497277
282	3.071627488
283	3.064260081
284	3.057571693
285	3.048137221
286	3.031629007
287	3.029053496
288	3.019840845
289	3.006585693
290	2.998545923
291	2.995698062
292	2.987021646
293	2.978321247
294	2.969896943
295	2.962304368
296	2.949974045
297	2.936938267
298	2.928648848
299	2.916294208
300	2.906220841
301	2.898969175
302	2.891079652
303	2.882701265
304	2.875456215
305	2.866030327
306	2.863992265
307	2.848590642
308	2.843628543
309	2.827522982
310	2.813947492
311	2.81239482
312	2.81130448
313	2.802732095
314	2.788480701
315	2.780825378
316	2.773969682
317	2.76746556
318	2.766045358
319	2.753724599
320	2.745559058
321	2.738815538
322	2.73252198
323	2.718712443
324	2.712204129
325	2.708132934
326	2.703351715
327	2.688876172
328	2.681681971
329	2.674920878
330	2.672112296
331	2.6619426
332	2.652736651
333	2.648628959
334	2.644843998
335	2.640301585
336	2.629399769
337	2.622392912
338	2.615549273
339	2.611366887
340	2.606846872
341	2.600917857
342	2.594745408
343	2.589394022
344	2.581167499
345	2.576518974
346	2.573352721
347	2.566720062
348	2.561710169
349	2.557436183
350	2.553981102
351	2.550688899
352	2.543995081
353	2.534785568
354	2.52845579
355	2.522689419
356	2.515636781
357	2.510383212
358	2.501537774
359	2.496108318
360	2.487226251
361	2.482477402
362	2.479372906
363	2.473650475
364	2.472563817
365	2.460840032
366	2.457808993
367	2.45079326
368	2.445680641
369	2.436181903
370	2.428556017
371	2.426009093
372	2.424323314
373	2.41481713
374	2.408807133
375	2.403980998
376	2.395471809
377	2.384839787
378	2.380391148
379	2.37392257
380	2.369010881
381	2.359656938
382	2.357654701
383	2.349735812
384	2.346032593
385	2.339733118
386	2.333127611
387	2.327495165
388	2.326435982
389	2.325186118
390	2.320704019
391	2.313557062
392	2.307925168
393	2.305558671
394	2.304452855
395	2.299488773
396	2.294547602
397	2.290813378
398	2.284383717
399	2.277826408
400	2.272336971
401	2.26719496
402	2.262446285
403	2.254715891
404	2.247570335
405	2.240450723
406	2.235765195
407	2.230046244
408	2.225851776
409	2.221142145
410	2.216095842
411	2.211814687
412	2.205524279
413	2.200059505
414	2.1959861
415	2.188945777
416	2.183464998
417	2.176632459
418	2.17299067
419	2.166681357
420	2.161872123
421	2.15530292
422	2.149945413
423	2.145636434
424	2.138741979
425	2.134251277
426	2.126383703
427	2.121814127
428	2.115820256
429	2.111808724
430	2.108808589
431	2.104161924
432	2.103459384
433	2.099641893
434	2.096885129
435	2.09328449
436	2.089509129
437	2.086835787
438	2.083194433
439	2.079530546
440	2.075359486
441	2.070742781
442	2.066710096
443	2.061928052
444	2.059574795
445	2.055798251
446	2.051779353
447	2.045838103
448	2.043965722
449	2.039042546
450	2.032065363
451	2.029019033
452	2.026429904
453	2.021271368
454	2.015642606
455	2.013870832
456	2.009508188
457	2.004492512
458	1.999847221
459	1.995084763
460	1.989210253
461	1.986495732
462	1.982148138
463	1.977922764
464	1.972886493
465	1.969393835
466	1.963794432
467	1.959595452
468	1.95283639
469	1.948359889
470	1.943557144
471	1.942897568
472	1.938410816
473	1.934577122
474	1.928072859
475	1.924576997
476	1.921605013
477	1.916184356
478	1.911520775
479	1.910941502
480	1.910313476
481	1.908450989
482	1.905976751
483	1.899026609
484	1.896793978
485	1.895060368
486	1.89162731
487	1.889558751
488	1.884944048
489	1.882434209
490	1.878341145
491	1.876116534
492	1.874886714
493	1.872733769
494	1.869681601
495	1.866359525
496	1.862932738
497	1.860236182
498	1.856328904
499	1.853089386
500	1.850173743
501	1.846398912
502	1.842832795
503	1.839260844
504	1.834661589
505	1.831299416
506	1.826587558
507	1.825801978
508	1.823349615
509	1.820087947
510	1.814986741
511	1.811521537
512	1.80668304
513	1.804070303
514	1.800469032
515	1.794148292
516	1.793303539
517	1.788550726
518	1.786482155
519	1.783113791
520	1.779107905
521	1.775994545
522	1.772571457
523	1.771883336
524	1.76926952
525	1.766427253
526	1.762424984
527	1.757914545
528	1.753636117
529	1.748729321
530	1.74525814
531	1.74282587
532	1.738595716
533	1.733789848
534	1.730252195
535	1.72556672
536	1.722121988
537	1.71958869
538	1.717618776
539	1.71357388
540	1.711010764
541	1.707957458
542	1.705029452
543	1.702537443
544	1.699441513
545	1.697722483
546	1.694228574
547	1.690547641
548	1.689929157
549	1.687977602
550	1.685631912
551	1.68040645
552	1.677889512
553	1.675591457
554	1.674225814
555	1.670371654
556	1.667459687
557	1.663701331
558	1.663027741
559	1.660863928
560	1.65694944
561	1.654962012
562	1.652178134
563	1.64823094
564	1.646284676
565	1.64412255
566	1.640986002
567	1.637269127
568	1.633045662
569	1.631027232
570	1.629299852
571	1.625257649
572	1.621696263
573	1.61982086
574	1.615132308
575	1.612413149
576	1.609116088
577	1.606007609
578	1.601765016
579	1.599494849
580	1.597772865
581	1.594950216
582	1.59371246
583	1.59077476
584	1.589066727
585	1.586845808
586	1.584232442
587	1.582313069
588	1.580200733
589	1.577701351
590	1.57561169
591	1.572699758
592	1.569838885
593	1.566547911
594	1.564957997
595	1.563526751
596	1.558998194
597	1.555159214
598	1.552497572
599	1.54898828
600	1.546395407
601	1.542639314
602	1.539386832
603	1.536723055
604	1.534351732
605	1.530603909
606	1.528542522
607	1.526069522
608	1.522538983
609	1.520673878
610	1.517466174
611	1.515219823
612	1.513090493
613	1.511407131
614	1.510657988
615	1.50691203
616	1.504157452
617	1.502392181
618	1.498938942
619	1.496361775
620	1.494275304
621	1.493147936
622	1.491519349
623	1.489459945
624	1.486627933
625	1.483223355
626	1.481165952
627	1.480784624
628	1.479088353
629	1.475692632
630	1.473967143
631	1.471817345
632	1.468520449
633	1.466176119
634	1.46299239
635	1.460376697
636	1.460014598
637	1.456980092
638	1.454867443
639	1.454483751
640	1.452486076
641	1.44951212
642	1.446493091
643	1.444381813
644	1.442316391
645	1.439960689
646	1.437364486
647	1.435040876
648	1.432563955
649	1.43006342
650	1.427863312
651	1.427535031
652	1.425698187
653	1.423185481
654	1.420763085
655	1.419113291
656	1.4156574
657	1.413709711
658	1.412537853
659	1.411053597
660	1.408941964
661	1.40793092
662	1.406532353
663	1.404209874
664	1.401500488
665	1.398672929
666	1.395131526
667	1.392928777
668	1.389436079
669	1.387122635
670	1.385436393
671	1.384181521
672	1.382020364
673	1.381460571
674	1.379856869
675	1.376491315
676	1.373801362
677	1.37349687
678	1.372237391
679	1.369480656
680	1.367436142
681	1.366069488
682	1.362982071
683	1.362433523
684	1.360727499
685	1.359409971
686	1.357094795
687	1.355588795
688	1.35355381
689	1.350596674
690	1.34912547
691	1.348673411
692	1.346902412
693	1.34497941
694	1.34218878
695	1.339392341
696	1.33620196
697	1.334430772
698	1.331680815
699	1.331279463
700	1.327894129
701	1.326086758
702	1.324252016
703	1.322699893
704	1.320707314
705	1.318915332
706	1.31624772
707	1.31412207
708	1.312453265
709	1.310485125
710	1.308877738
711	1.306567231
712	1.304627429
713	1.30307813
714	1.301733408
715	1.300307563
716	1.298463644
717	1.296633102
718	1.295640109
719	1.293529982
720	1.291399631
721	1.290375724
722	1.288144179
723	1.286875871
724	1.284887489
725	1.28297123
726	1.280255825
727	1.27838285
728	1.275609794
729	1.273831675
730	1.270927489
731	1.269099328
732	1.267712696
733	1.264716902
734	1.262085379
735	1.259141622
736	1.257624567
737	1.255953622
738	1.254528502
739	1.254225772
740	1.253474391
741	1.251280127
742	1.248210055
743	1.245793099
744	1.244198918
745	1.242614445
746	1.240155794
747	1.238001266
748	1.237105692
749	1.235012952
750	1.232842542
751	1.231806064
752	1.230463869
753	1.229063223
754	1.22806536
755	1.226685945
756	1.226083491
757	1.224293354
758	1.223466675
759	1.222352023
760	1.220597841
761	1.219190803
762	1.217661788
763	1.21671815
764	1.214623147
765	1.213192451
766	1.210291268
767	1.20832108
768	1.206187568
769	1.203563637
770	1.202065208
771	1.200432836
772	1.198525536
773	1.197269748
774	1.195759155
775	1.194200678
776	1.192383392
777	1.190766211
778	1.19015393
779	1.188306787
780	1.18709844
781	1.184624802
782	1.183407255
783	1.181745779
784	1.181531595
785	1.179311541
786	1.17818415
787	1.176885995
788	1.174620473
789	1.173705164
790	1.172488333
791	1.170378043
792	1.168647963
793	1.167168183
794	1.165602448
795	1.164206238
796	1.162884911
797	1.160418786
798	1.159201012
799	1.157761093
800	1.157604365
801	1.155558735
802	1.152951245
803	1.150806693
804	1.149372838
805	1.148859667
806	1.147823362
807	1.147082767
808	1.145789078
809	1.144189531
810	1.141920742
811	1.141042483
812	1.139254014
813	1.138939888
814	1.137778901
815	1.135713256
816	1.133673402
817	1.132287793
818	1.132111328
819	1.130804506
820	1.12868218
821	1.12804196
822	1.126510533
823	1.124798748
824	1.123798085
825	1.122876378
826	1.121907016
827	1.120723697
828	1.119491819
829	1.117662425
830	1.116763152
831	1.114966638
832	1.113416463
833	1.112667821
834	1.111119803
835	1.109199122
836	1.108081049
837	1.105903982
838	1.105180075
839	1.103172205
840	1.102231952
841	1.100156024
842	1.099935915
843	1.098270442
844	1.097009816
845	1.094715081
846	1.093413568
847	1.091452698
848	1.089613719
849	1.087816979
850	1.086434939
851	1.084249301
852	1.08340228
853	1.082017173
854	1.080182822
855	1.079269589
856	1.078470196
857	1.07780483
858	1.076751223
859	1.074736147
860	1.074416446
861	1.072839744
862	1.070858942
863	1.069367422
864	1.06808842
865	1.065956638
866	1.065240634
867	1.064173781
868	1.06355843
869	1.062903836
870	1.061141965
871	1.059982405
872	1.059108789
873	1.057818347
874	1.056097179
875	1.054701597
876	1.053671912
877	1.052151444
878	1.051097174
879	1.049986691
880	1.04855877
881	1.047466652
882	1.045662264
883	1.043814505
884	1.042813436
885	1.041734055
886	1.040402641
887	1.039073965
888	1.037797664
889	1.037378479
890	1.035364749
891	1.034487152
892	1.033704385
893	1.033144346
894	1.032479151
895	1.030473885
896	1.029283254
897	1.028742842
898	1.027188637
899	1.026070403
900	1.024584906
901	1.022889896
902	1.022073896
903	1.021275868
904	1.019729783
905	1.017539673
906	1.016431607
907	1.015018227
908	1.013966839
909	1.01339199
910	1.011742366
911	1.011264991
912	1.010301298
913	1.008672699
914	1.007822014
915	1.006578916
916	1.005710325
917	1.004242106
918	1.002946299
919	1.002006274
920	1.000803916
921	0.9997436133
922	0.9983926448
923	0.9982227733
924	0.9975474741
925	0.9962227895
926	0.9953479745
927	0.9942095964
928	0.992867686
929	0.9910583309
930	0.9898094167
931	0.9882861095
932	0.9872561243
933	0.9862485828
934	0.9855170133
935	0.9839086886
936	0.9824318599
937	0.9813518123
938	0.9801143299
939	0.9794387859
940	0.9787678344
941	0.978228435
942	0.9770534929
943	0.9760637876
944	0.9753965969
945	0.9738069909
946	0.9726053665
947	0.97173885
948	0.9701080072
949	0.968786938
950	0.9674819751
951	0.9668059054
952	0.9657860012
953	0.965038389
954	0.964193617
955	0.9636775408
956	0.9632013777
957	0.9622189296
958	0.9613188862
959	0.9601686831
960	0.9589661347
961	0.9576475575
962	0.9562583149
963	0.9552561823
964	0.953853325
965	0.9521744579
966	0.9512329554
967	0.9498578446
968	0.9490403579
969	0.9476968429
970	0.9468701389
971	0.9454435269
972	0.9443214444
973	0.9428031225
974	0.9414521519
975	0.9407650215
976	0.940000618
977	0.9389076162
978	0.937900441
979	0.9368616863
980	0.9366911998
981	0.9360408574
982	0.9340556738
983	0.9332127045
984	0.9319960085
985	0.9318514265
986	0.9302485432
987	0.9288023557
988	0.9274595922
989	0.9263949125
990	0.9244860499
991	0.92373426
992	0.9227390784
993	0.9218043893
994	0.9214489838
995	0.9200652485
996	0.9191358343
997	0.9180978256
998	0.9168559403
999	0.9154036684
