iter	Passed	Remaining
0	18	18126
1	34	17035
2	50	16654
3	65	16316
4	81	16281
5	97	16145
6	109	15486
7	121	15087
8	133	14746
9	152	15143
10	165	14854
11	175	14443
12	187	14198
13	199	14042
14	211	13910
15	222	13690
16	234	13540
17	245	13404
18	256	13238
19	268	13132
20	279	13017
21	289	12876
22	301	12801
23	312	12718
24	323	12598
25	334	12537
26	346	12474
27	356	12377
28	367	12318
29	380	12287
30	391	12244
31	402	12166
32	414	12140
33	425	12100
34	436	12048
35	448	12004
36	459	11960
37	469	11895
38	481	11859
39	495	11890
40	514	12031
41	541	12350
42	567	12629
43	585	12730
44	602	12793
45	626	12987
46	642	13037
47	660	13102
48	676	13136
49	690	13128
50	701	13053
51	712	12996
52	725	12960
53	736	12906
54	748	12853
55	760	12817
56	778	12885
57	793	12895
58	810	12922
59	823	12901
60	834	12840
61	846	12806
62	858	12763
63	869	12711
64	879	12655
65	891	12616
66	903	12576
67	913	12518
68	925	12493
69	937	12457
70	948	12410
71	959	12366
72	971	12334
73	982	12298
74	993	12254
75	1004	12218
76	1016	12184
77	1027	12140
78	1038	12111
79	1050	12075
80	1061	12048
81	1076	12047
82	1089	12040
83	1103	12030
84	1117	12025
85	1129	12007
86	1142	11993
87	1156	11982
88	1168	11959
89	1179	11927
90	1192	11911
91	1203	11881
92	1216	11859
93	1226	11822
94	1237	11791
95	1250	11776
96	1261	11745
97	1273	11717
98	1285	11699
99	1297	11674
100	1308	11642
101	1319	11617
102	1331	11591
103	1342	11562
104	1353	11539
105	1366	11521
106	1377	11495
107	1390	11481
108	1403	11475
109	1417	11464
110	1428	11444
111	1439	11416
112	1452	11403
113	1464	11383
114	1475	11357
115	1488	11339
116	1499	11320
117	1512	11305
118	1523	11281
119	1534	11254
120	1548	11247
121	1559	11224
122	1571	11204
123	1583	11183
124	1594	11159
125	1605	11138
126	1618	11123
127	1630	11107
128	1642	11090
129	1653	11065
130	1664	11042
131	1676	11023
132	1687	11001
133	1698	10978
134	1710	10959
135	1721	10939
136	1732	10915
137	1745	10904
138	1763	10923
139	1779	10933
140	1794	10935
141	1806	10918
142	1818	10896
143	1829	10876
144	1841	10857
145	1852	10836
146	1863	10810
147	1874	10791
148	1885	10767
149	1895	10742
150	1907	10726
151	1920	10712
152	1930	10687
153	1941	10665
154	1966	10721
155	1979	10709
156	1992	10699
157	2009	10710
158	2025	10714
159	2039	10706
160	2052	10695
161	2070	10708
162	2086	10715
163	2103	10724
164	2116	10712
165	2129	10698
166	2142	10684
167	2154	10672
168	2167	10656
169	2179	10640
170	2192	10628
171	2205	10617
172	2218	10604
173	2231	10591
174	2243	10575
175	2256	10564
176	2268	10550
177	2281	10536
178	2297	10536
179	2309	10522
180	2322	10509
181	2336	10500
182	2351	10496
183	2367	10497
184	2381	10489
185	2395	10483
186	2408	10470
187	2423	10468
188	2434	10448
189	2447	10433
190	2459	10416
191	2472	10406
192	2486	10395
193	2503	10401
194	2519	10401
195	2537	10407
196	2559	10432
197	2570	10413
198	2582	10393
199	2593	10374
200	2604	10351
201	2615	10331
202	2627	10316
203	2641	10305
204	2653	10289
205	2666	10279
206	2680	10269
207	2693	10255
208	2705	10238
209	2716	10220
210	2729	10206
211	2746	10208
212	2764	10212
213	2779	10209
214	2792	10196
215	2804	10179
216	2816	10161
217	2830	10153
218	2844	10142
219	2855	10123
220	2865	10101
221	2877	10083
222	2891	10073
223	2903	10057
224	2913	10035
225	2927	10025
226	2939	10009
227	2950	9990
228	2961	9969
229	2974	9957
230	2987	9944
231	2997	9924
232	3008	9902
233	3021	9890
234	3032	9871
235	3043	9853
236	3056	9839
237	3067	9820
238	3078	9801
239	3090	9785
240	3101	9766
241	3112	9748
242	3123	9730
243	3135	9713
244	3146	9695
245	3158	9679
246	3170	9665
247	3182	9650
248	3193	9631
249	3205	9615
250	3225	9626
251	3237	9610
252	3249	9594
253	3260	9577
254	3272	9562
255	3284	9546
256	3298	9535
257	3310	9521
258	3323	9509
259	3339	9505
260	3353	9493
261	3366	9482
262	3378	9468
263	3389	9450
264	3402	9437
265	3414	9423
266	3427	9409
267	3438	9392
268	3451	9378
269	3463	9365
270	3479	9360
271	3491	9344
272	3502	9328
273	3515	9315
274	3530	9307
275	3543	9295
276	3555	9280
277	3568	9266
278	3580	9252
279	3592	9238
280	3605	9224
281	3618	9213
282	3633	9206
283	3649	9199
284	3664	9192
285	3676	9178
286	3689	9165
287	3701	9150
288	3719	9150
289	3735	9146
290	3751	9140
291	3765	9130
292	3779	9118
293	3791	9105
294	3804	9091
295	3815	9075
296	3828	9061
297	3840	9047
298	3853	9033
299	3864	9017
300	3878	9007
301	3891	8994
302	3905	8982
303	3916	8967
304	3929	8953
305	3942	8942
306	3954	8927
307	3967	8913
308	3978	8896
309	3990	8881
310	4003	8868
311	4015	8853
312	4026	8837
313	4039	8824
314	4052	8813
315	4066	8802
316	4080	8792
317	4094	8782
318	4109	8773
319	4124	8764
320	4136	8749
321	4153	8745
322	4165	8730
323	4177	8716
324	4189	8701
325	4201	8686
326	4213	8671
327	4226	8659
328	4249	8666
329	4284	8699
330	4316	8724
331	4335	8723
332	4364	8743
333	4384	8742
334	4404	8742
335	4419	8733
336	4435	8726
337	4447	8710
338	4460	8697
339	4473	8683
340	4486	8670
341	4500	8657
342	4513	8645
343	4525	8630
344	4538	8616
345	4550	8601
346	4563	8586
347	4574	8569
348	4584	8552
349	4596	8536
350	4609	8522
351	4621	8507
352	4633	8491
353	4644	8475
354	4655	8457
355	4667	8443
356	4679	8428
357	4694	8419
358	4714	8417
359	4731	8410
360	4747	8402
361	4760	8390
362	4773	8376
363	4784	8359
364	4796	8344
365	4808	8329
366	4819	8312
367	4831	8297
368	4843	8281
369	4855	8266
370	4866	8251
371	4878	8236
372	4890	8220
373	4901	8204
374	4912	8188
375	4924	8172
376	4935	8155
377	4946	8140
378	4960	8127
379	4975	8117
380	4991	8108
381	5004	8097
382	5027	8099
383	5039	8084
384	5051	8069
385	5062	8052
386	5091	8065
387	5103	8050
388	5114	8032
389	5126	8017
390	5136	8000
391	5147	7984
392	5159	7968
393	5170	7952
394	5183	7939
395	5194	7923
396	5206	7907
397	5217	7892
398	5228	7875
399	5239	7859
400	5251	7844
401	5265	7833
402	5278	7819
403	5291	7806
404	5304	7793
405	5318	7781
406	5332	7768
407	5346	7757
408	5359	7744
409	5373	7732
410	5385	7718
411	5397	7703
412	5408	7686
413	5420	7672
414	5433	7659
415	5448	7648
416	5462	7636
417	5475	7624
418	5488	7610
419	5500	7596
420	5515	7585
421	5529	7573
422	5539	7556
423	5551	7542
424	5564	7528
425	5575	7512
426	5586	7496
427	5598	7481
428	5610	7468
429	5624	7456
430	5637	7442
431	5648	7426
432	5660	7412
433	5677	7404
434	5693	7395
435	5710	7387
436	5723	7373
437	5734	7358
438	5746	7343
439	5760	7332
440	5772	7316
441	5784	7302
442	5795	7286
443	5807	7272
444	5817	7254
445	5828	7240
446	5840	7225
447	5852	7211
448	5863	7195
449	5875	7180
450	5886	7165
451	5897	7150
452	5908	7134
453	5920	7119
454	5930	7104
455	5942	7089
456	5954	7074
457	5965	7059
458	5977	7044
459	5988	7030
460	5999	7014
461	6010	6999
462	6022	6985
463	6033	6969
464	6044	6954
465	6056	6940
466	6068	6926
467	6079	6910
468	6091	6896
469	6102	6881
470	6114	6867
471	6125	6852
472	6136	6837
473	6147	6822
474	6160	6808
475	6172	6795
476	6184	6781
477	6197	6767
478	6211	6755
479	6222	6740
480	6234	6726
481	6246	6712
482	6256	6697
483	6268	6683
484	6279	6667
485	6291	6653
486	6302	6639
487	6314	6624
488	6324	6609
489	6336	6594
490	6347	6580
491	6359	6565
492	6369	6550
493	6381	6536
494	6393	6522
495	6404	6507
496	6415	6492
497	6427	6478
498	6437	6463
499	6449	6449
500	6460	6434
501	6472	6420
502	6483	6406
503	6494	6391
504	6506	6377
505	6517	6362
506	6546	6365
507	6557	6350
508	6567	6335
509	6578	6320
510	6590	6306
511	6601	6291
