DATE,WGPT:0001,WGPT:0002,WGPT:0003,WGPT:0004,WGPT:0005,WGPT:0006,WGPT:0007,WGPT:0008,WGPT:0009,WGPT:0010,WGPT:0011,WBP:0001,WBP:0002,WBP:0003,WBP:0004,WBP:0005,WBP:0006,WBP:0007,WBP:0008,WBP:0009,WBP:0010,WBP:0011
2015-08-01,211343836.0,235763132.0,170818978.0,172595049.0,242954426.0,203672414.0,40221621.0,553536280.0,136209326.0,0.0,0.0,1381.33787,1612.05253,1604.6569000000002,2102.73151,2122.96018,2267.00353,1711.85487,2173.36405,2110.62016,2360.56887,2305.4549100000004
2015-08-02,214010896.0,239066762.0,173707930.0,174872038.0,247923478.0,206196034.0,40659324.2,559203304.0,137675714.0,0.0,0.0,1374.9386200000001,1608.6963199999998,1583.42393,2097.6483,2112.6083,2264.00097,1710.85871,2166.69574,2159.87695,2360.15153,2304.91294
2015-08-03,216672016.0,242366014.0,176300179.0,177174591.0,252888218.0,208717344.0,41096632.5,564858712.0,139907075.0,0.0,0.0,1371.59231,1606.5294299999998,1574.6265700000001,2092.70523,2104.20925,2261.32401,1709.8747600000002,2160.97563,2139.95419,2359.73265,2304.37064
2015-08-04,219327174.0,245926076.0,178247773.0,179303498.0,258410306.0,211259356.0,41533552.5,570772532.0,142088947.0,0.0,0.0,1369.0920099999998,1602.80131,1579.4221300000002,2089.53778,2094.79644,2258.55047,1708.90258,2153.1294399999997,2136.23861,2359.31201,2303.82658
2015-08-05,222057198.0,249605356.0,180771305.0,181517809.0,263488324.0,213799058.0,41970085.3,576675176.0,143953282.0,0.0,0.0,1366.12069,1599.31948,1570.41115,2085.5466499999998,2088.60421,2256.06766,1707.94173,2146.52493,2151.97147,2358.88983,2303.27944
2015-08-06,224781370.0,253618860.0,183005735.0,183696623.0,268737634.0,216313350.0,42406237.5,582433368.0,145880372.0,0.0,0.0,1363.93389,1594.21603,1569.56151,2082.12191,2082.40791,2254.1909499999997,1706.99155,2141.6604,2155.98504,2358.4661100000003,2302.72757
2015-08-07,227499690.0,257731958.0,185276762.0,185899868.0,273925234.0,218871180.0,42842013.5,588247396.0,148089293.0,0.0,0.0,1362.06334,1589.9785,1567.33302,2078.51556,2077.22581,2251.77315,1706.0515999999998,2135.98781,2142.37991,2358.04041,2302.16877
2015-08-08,230290720.0,261841404.0,187583682.0,188097602.0,279050112.0,221426700.0,43277415.5,594116336.0,150318553.0,0.0,0.0,1359.4922,1586.8284299999998,1564.59721,2075.09181,2072.8259199999998,2249.60824,1705.12188,2130.00106,2134.07084,2357.61306,2301.60194
2015-08-09,233076030.0,265896004.0,189888864.0,190319448.0,284229396.0,224002416.0,43712451.2,599974056.0,152567877.0,0.0,0.0,1357.55301,1584.63107,1562.2148300000001,2071.5233,2068.60412,2247.2692,1704.20151,2124.4146,2126.77113,2357.18384,2301.0251
2015-08-10,235855598.0,270048306.0,192229290.0,192565120.0,289462228.0,226575822.0,44141097.0,605885852.0,154878933.0,0.0,0.0,1355.84416,1581.8363000000002,1559.34768,2067.84765,2064.5482,2245.1341,1704.6656000000003,2118.42092,2117.52101,2356.7526399999997,2300.43693
2015-08-11,238550510.0,274196978.0,194568000.0,194805270.0,294690946.0,229146940.0,44575949.0,611786516.0,157167527.0,0.0,0.0,1355.1846,1579.5644699999998,1556.8757600000001,2064.33898,2060.85858,2243.16609,1704.0666500000002,2112.8151,2112.26609,2356.3193499999998,2299.83655
2015-08-12,241318572.0,278342042.0,196900352.0,197039964.0,299915506.0,231715748.0,45010363.2,617676004.0,159454493.0,0.0,0.0,1353.18832,1577.5204500000002,1554.70359,2060.94878,2057.40832,2241.31853,1702.9854599999999,2107.39474,2107.58273,2355.88441,2299.2269300000003
2015-08-13,244080870.0,282483454.0,199228854.0,199154692.0,305135974.0,234304488.0,45444168.0,623554316.0,161739853.0,0.0,0.0,1351.69562,1575.6897199999999,1552.7714400000002,2058.80433,2054.2691400000003,2239.27055,1701.12338,2102.11991,2103.79048,2355.44628,2298.60015
